"User_ID","Purchase"
1001889,7802
1003320,15412
1003690,1448
1002796,3927
1001671,7091
1005872,5147
1002230,6058
1001680,5913
1003821,3584
1005367,8019
1005588,3897
1003661,15688
1002010,759
1000957,9859
1003878,1916
1003129,11995
1002437,19179
1004497,15717
1005820,7858
1004888,7882
1005996,7885
1001181,380
1004140,7003
1005441,11392
1001314,1825
1001094,7876
1005329,5963
1001749,6088
1005880,8684
1001203,7825
1003005,380
1005548,9888
1001591,10042
1005607,5260
1004124,7137
1001490,19464
1001916,8702
1003332,11589
1000549,20789
1001658,15625
1003697,19041
1005619,8609
1000442,5427
1000201,8678
1001753,20537
1001983,19550
1005395,4565
1002826,7828
1003476,1770
1003558,8068
1000637,8738
1002376,12223
1004084,8020
1004327,4452
1002056,21225
1003539,7167
1002832,6857
1004643,6903
1002595,19334
1004053,15829
1001317,16096
1004335,12360
1005349,8126
1003010,5436
1005960,7617
1000238,9936
1002684,11750
1004199,9867
1001699,16440
1005443,13650
1005795,2302
1003971,5391
1000549,20339
1001579,14524
1002015,11496
1003621,15275
1001984,16117
1004220,5301
1003048,15843
1003320,5463
1002501,18990
1000355,7564
1002878,10075
1002251,9793
1004049,5839
1002163,19091
1005054,6016
1000710,6860
1001396,6925
1001265,4242
1004575,1700
1001389,6733
1006021,15427
1002106,5362
1001059,1911
1001931,9999
1004071,6899
1000546,4432
1005888,12508
1001812,6060
1005636,3643
1001962,2174
1001613,6465
1002424,7870
1001228,9716
1000169,13136
1005177,15186
1002529,19069
1002527,19610
1003487,5889
1001203,7068
1002153,8032
1000639,5906
1001984,8080
1001100,15895
1003690,5145
1002901,16013
1002090,8702
1001675,1492
1005953,10913
1005914,15960
1003693,5466
1000438,1751
1001803,5215
1000817,4546
1001759,6949
1001978,2905
1001129,6861
1003913,7050
1005677,4303
1003507,19648
1002063,1774
1003517,7174
1001170,6047
1000184,12011
1001268,9772
1005524,7184
1000033,11825
1002668,8087
1002745,7953
1001132,19086
1000293,8894
1002924,13045
1004733,12864
1003971,7937
1002756,11724
1000545,9796
1002445,19172
1000984,1039
1003908,5436
1000588,21119
1005965,4462
1002397,19394
1001861,16550
1003675,5476
1001303,7025
1006040,2806
1002323,7088
1000573,11544
1002453,5824
1002731,9891
1005138,7054
1003401,1528
1002096,1739
1003227,5432
1000091,7047
1004112,19516
1002181,13268
1000648,16962
1005536,2027
1005390,15653
1004333,19193
1000813,7012
1000141,2045
1000837,16522
1005831,23303
1001680,8085
1005654,7080
1003469,8655
1002544,7951
1003652,7042
1005984,19429
1001004,10724
1002439,6870
1001726,11652
1002907,11371
1003745,3065
1003853,13246
1003265,8443
1001645,5349
1003183,2312
1001626,6003
1000855,10732
1001854,2011
1002580,3628
1005452,6975
1004908,15844
1003312,5819
1000296,19065
1002532,6123
1003328,15660
1000146,15184
1001142,7032
1000314,6884
1002429,23473
1003209,4491
1005329,9959
1002402,5275
1002506,15739
1003792,5298
1005166,3746
1004194,4472
