"enrollee_id","target"
6424,0
18304,0
22515,0
15878,0
22128,0
17347,0
32239,0
1012,0
7766,0
3984,0
23247,0
18458,0
5248,0
13094,0
24516,0
1511,0
30822,0
25281,0
12324,0
16450,0
25513,0
32015,0
18228,0
11260,0
3566,0
14211,0
15827,0
18376,0
4412,0
22210,0
22112,0
27607,0
1359,0
5210,0
25378,0
26280,0
18778,0
2435,0
728,0
11259,0
3955,0
30668,0
5897,0
20442,0
27451,0
3489,0
24147,0
3328,0
3378,0
3021,0
592,0
30992,0
30091,0
33037,0
18480,0
28778,0
32384,0
10747,0
31603,0
22537,0
29924,0
16545,0
11797,0
16537,0
32026,0
17929,0
8636,0
11021,0
10547,0
29987,0
5880,0
8119,0
30261,0
22865,0
17410,0
2901,0
5701,0
3633,0
22185,0
30919,0
21436,0
14138,0
31757,0
26644,0
30620,0
26342,0
28159,0
16041,0
13183,0
30330,0
20619,0
30325,0
28311,0
16681,0
26677,0
21137,0
32215,0
18839,0
24695,0
21642,0
22535,0
7449,0
15390,0
4567,0
26212,0
2235,0
6130,0
27680,0
29621,0
1464,0
5725,0
18134,0
18362,0
30117,0
5218,0
29770,0
22072,0
16256,0
6033,0
16177,0
21225,0
1565,0
28550,0
317,0
10758,0
3176,0
7383,0
15404,0
29744,0
22006,0
2462,0
16612,0
8433,0
26167,0
30452,0
4986,0
5378,0
16980,0
21196,0
30226,0
17636,0
5798,0
4109,0
31868,0
22725,0
26737,0
6866,0
28687,0
5763,0
12673,0
20341,0
4111,0
17421,0
7056,0
29401,0
23712,0
5127,0
24929,0
25266,0
10370,0
30687,0
7372,0
27395,0
23942,0
18784,0
24229,0
26477,0
31979,0
16674,0
18759,0
15942,0
7208,0
24622,0
25588,0
24179,0
27408,0
22155,0
7695,0
20979,0
11832,0
7780,0
6306,0
27690,0
11528,0
25211,0
190,0
7167,0
22595,0
9118,0
16229,0
9980,0
75,0
24144,0
24537,0
11812,0
26230,0
3215,0
2180,0
9709,0
30066,0
28214,0
33128,0
18146,0
12190,0
29348,0
9365,0
18198,0
713,0
4252,0
12870,0
30390,0
8044,0
2083,0
11675,0
4336,0
33125,0
897,0
22919,0
3639,0
28116,0
3170,0
17819,0
14995,0
20733,0
20595,0
5630,0
31651,0
29495,0
8585,0
27401,0
24653,0
11648,0
26815,0
3992,0
33127,0
15891,0
12135,0
26813,0
22249,0
25625,0
30704,0
19163,0
2234,0
5159,0
16692,0
31680,0
20208,0
23056,0
1061,0
31617,0
4284,0
20359,0
20136,0
14633,0
2283,0
12932,0
18240,0
8534,0
4772,0
20686,0
25992,0
4454,0
18543,0
11040,0
32407,0
5926,0
211,0
26476,0
31043,0
17964,0
28262,0
17739,0
24086,0
12543,0
8251,0
32368,0
26864,0
5574,0
15138,0
26900,0
1217,0
28077,0
25302,0
14791,0
28922,0
31184,0
31918,0
9784,0
20394,0
5117,0
20785,0
7039,0
27821,0
26696,0
15357,0
27428,0
21654,0
5847,0
24397,0
21812,0
5297,0
17647,0
8414,0
26717,0
29811,0
11906,0
31127,0
4396,0
23041,0
10194,0
26030,0
26429,0
21597,0
31602,0
8706,0
12715,0
764,0
26949,0
28051,0
24280,0
21985,0
7995,0
13017,0
29487,0
15998,0
505,0
5700,0
28211,0
13803,0
31939,0
24644,0
29953,0
22305,0
30386,0
12548,0
22895,0
6267,0
16115,0
32878,0
9801,0
14610,0
30807,0
19919,0
11863,0
31125,0
31075,0
17516,0
30172,0
24798,0
30673,0
1665,0
29512,0
33023,0
29270,0
3075,0
24328,0
26496,0
13611,0
20093,0
10797,0
29569,0
28015,0
3433,0
20593,0
27792,0
1281,0
11919,0
7153,0
15643,0
14454,0
10392,0
11552,0
8159,0
26749,0
29289,0
8715,0
30854,0
24572,0
9264,0
7984,0
3209,0
21647,0
23595,0
5139,0
1566,0
5868,0
4415,0
25265,0
11774,0
22878,0
30319,0
25839,0
2756,0
5651,0
28855,0
31942,0
16815,0
10361,0
3746,0
30898,0
861,0
5858,0
21153,0
24984,0
22586,0
9543,0
4342,0
27057,0
27841,0
3370,0
29329,0
7037,0
781,0
21201,0
13450,0
25809,0
31084,0
15131,0
6018,0
29730,0
29280,0
22164,0
19036,0
10457,0
27957,0
25577,0
11335,0
14034,0
21854,0
25409,0
1320,0
1529,0
11027,0
11411,0
28805,0
24030,0
26678,0
29819,0
8054,0
19784,0
32203,0
1106,0
27454,0
13145,0
27000,0
21539,0
30818,0
3490,0
30395,0
25849,0
16667,0
12597,0
28142,0
2218,0
18984,0
13331,0
5215,0
13848,0
10536,0
16856,0
4296,0
3036,0
31725,0
18465,0
11103,0
9623,0
1280,0
4014,0
29782,0
30366,0
27986,0
4190,0
4888,0
14511,0
29256,0
23995,0
1987,0
29662,0
14769,0
26830,0
15645,0
27935,0
8067,0
2966,0
1282,0
32885,0
26175,0
11747,0
17754,0
20246,0
71,0
2486,0
8230,0
22471,0
24531,0
18361,0
17649,0
6448,0
22425,0
12717,0
8792,0
14509,0
17705,0
22723,0
14416,0
11285,0
30203,0
13465,0
5389,0
18533,0
10961,0
9363,0
9911,0
25236,0
31720,0
6059,0
29540,0
5373,0
26605,0
9037,0
17602,0
30628,0
10930,0
31614,0
869,0
18938,0
6958,0
13610,0
16737,0
22663,0
8422,0
540,0
18902,0
22046,0
14017,0
19839,0
7151,0
14605,0
23141,0
14723,0
30872,0
805,0
11560,0
18093,0
6663,0
10953,0
13153,0
25631,0
26775,0
24680,0
25272,0
2402,0
7103,0
1309,0
